Sex,Race,Age,Age Group,Education,Work Class,Occupation,Marital Status,Relationship,Income
Female,White,82,80s+,HS-grad,Private,Exec-managerial,Widowed,Not-in-family,<=50K
Female,White,54,50s,<HS,Private,Machine-op-inspct,Divorced,Unmarried,<=50K
Female,White,41,40s,Some-college,Private,Prof-specialty,Separated,Own-child,<=50K
Female,White,34,30s,HS-grad,Private,Other-service,Divorced,Unmarried,<=50K
Male,White,38,30s,<HS,Private,Adm-clerical,Separated,Unmarried,<=50K
Female,White,74,70s,Doctorate,State-gov,Prof-specialty,Never-married,Other-relative,>50K
Female,White,68,60s,HS-grad,Federal-gov,Prof-specialty,Divorced,Not-in-family,<=50K
Male,White,41,40s,Some-college,Private,Craft-repair,Never-married,Unmarried,>50K
Female,Black,45,40s,Doctorate,Private,Prof-specialty,Divorced,Unmarried,>50K
Male,White,38,30s,Prof-school,Self-emp-not-inc,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,52,50s,Bachelors,Private,Other-service,Widowed,Not-in-family,>50K
Male,White,32,30s,Masters,Private,Exec-managerial,Separated,Not-in-family,>50K
Male,White,46,40s,Prof-school,Private,Prof-specialty,Divorced,Not-in-family,>50K
Male,White,45,40s,<HS,Private,Transport-moving,Divorced,Not-in-family,>50K
Male,White,57,50s,Masters,Private,Exec-managerial,Divorced,Not-in-family,>50K
Male,Black,22,20s,Associate,Private,Handlers-cleaners,Never-married,Not-in-family,>50K
Male,White,34,30s,Bachelors,Private,Sales,Separated,Not-in-family,>50K
Male,White,37,30s,Bachelors,Private,Exec-managerial,Never-married,Not-in-family,>50K
Female,White,29,20s,<HS,Private,Sales,Separated,Not-in-family,<=50K
Female,White,61,60s,HS-grad,Private,Sales,Divorced,Unmarried,<=50K
Male,White,51,50s,Some-college,Private,Transport-moving,Married,Husband,<=50K
Male,White,21,20s,Associate,Private,Craft-repair,Married,Husband,<=50K
Male,White,33,30s,<HS,Private,Craft-repair,Married,Not-in-family,<=50K
Male,White,49,40s,<HS,Private,Other-service,Married,Husband,<=50K
Male,White,37,30s,<HS,Self-emp-inc,Transport-moving,Never-married,Not-in-family,>50K
Male,White,38,30s,<HS,Private,Prof-specialty,Never-married,Not-in-family,>50K
Male,White,23,20s,Some-college,Private,Other-service,Separated,Not-in-family,>50K
Female,White,59,50s,<HS,Self-emp-inc,Exec-managerial,Widowed,Unmarried,>50K
Male,White,52,50s,Prof-school,Private,Exec-managerial,Divorced,Not-in-family,>50K
Male,White,51,50s,Bachelors,Private,Exec-managerial,Divorced,Not-in-family,>50K
Male,Black,60,60s,HS-grad,Self-emp-not-inc,Exec-managerial,Never-married,Not-in-family,>50K
Female,White,63,60s,Doctorate,Federal-gov,Exec-managerial,Divorced,Not-in-family,>50K
Male,White,53,50s,HS-grad,Private,Sales,Never-married,Not-in-family,>50K
Female,White,51,50s,Prof-school,Private,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,37,30s,Doctorate,Self-emp-not-inc,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,54,50s,Masters,Private,Prof-specialty,Divorced,Not-in-family,>50K
Male,White,44,40s,Bachelors,Private,Exec-managerial,Divorced,Unmarried,>50K
Female,White,43,40s,Masters,Private,Exec-managerial,Divorced,Unmarried,>50K
Female,White,51,50s,Some-college,Private,Adm-clerical,Divorced,Unmarried,>50K
Female,White,43,40s,Masters,Private,Prof-specialty,Divorced,Unmarried,>50K
Female,White,48,40s,Bachelors,Private,Sales,Married,Unmarried,>50K
Male,White,71,70s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,Asian-Pac-Islander,73,70s,HS-grad,Self-emp-not-inc,Farming-fishing,Married,Husband,<=50K
Male,White,40,40s,Prof-school,Self-emp-not-inc,Prof-specialty,Never-married,Not-in-family,>50K
Female,White,50,50s,HS-grad,Private,Sales,Widowed,Not-in-family,>50K
Male,White,51,50s,Associate,State-gov,Tech-support,Divorced,Not-in-family,>50K
Female,White,42,40s,Some-college,Private,Exec-managerial,Never-married,Not-in-family,>50K
Male,White,39,30s,Masters,Private,Sales,Never-married,Not-in-family,>50K
Male,White,32,30s,Bachelors,Private,Exec-managerial,Never-married,Other-relative,>50K
Male,White,53,50s,Some-college,Private,Craft-repair,Separated,Not-in-family,>50K
Male,White,40,40s,Some-college,Local-gov,Protective-serv,Never-married,Not-in-family,>50K
Female,White,38,30s,Bachelors,Private,Sales,Never-married,Not-in-family,>50K
Male,White,33,30s,Associate,Private,Craft-repair,Separated,Not-in-family,>50K
Male,White,43,40s,Associate,Private,Craft-repair,Divorced,Not-in-family,>50K
Male,White,50,50s,<HS,Self-emp-inc,Exec-managerial,Never-married,Other-relative,>50K
Female,White,44,40s,Some-college,Private,Adm-clerical,Married,Wife,>50K
Male,Asian-Pac-Islander,51,50s,Bachelors,Self-emp-not-inc,Sales,Married,Husband,>50K
Male,White,41,40s,Prof-school,Private,Prof-specialty,Married,Husband,>50K
Male,White,60,60s,Associate,Self-emp-inc,Machine-op-inspct,Married,Husband,>50K
Male,White,37,30s,Masters,Private,Exec-managerial,Married,Husband,>50K
Male,White,55,50s,Prof-school,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,White,39,30s,Bachelors,Self-emp-inc,Sales,Married,Husband,>50K
Male,White,42,40s,Prof-school,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,White,49,40s,Bachelors,Private,Sales,Married,Husband,>50K
Male,White,47,40s,HS-grad,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,41,40s,Prof-school,Local-gov,Prof-specialty,Married,Husband,>50K
Male,White,55,50s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Female,White,39,30s,Masters,Private,Exec-managerial,Married,Wife,>50K
Male,White,42,40s,Bachelors,Private,Exec-managerial,Married,Husband,>50K
Male,White,46,40s,Masters,Private,Sales,Married,Husband,>50K
Male,White,40,40s,Masters,Private,Exec-managerial,Married,Husband,>50K
Male,White,32,30s,Bachelors,Private,Prof-specialty,Married,Husband,>50K
Male,White,41,40s,Some-college,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,60,60s,Prof-school,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,White,31,30s,Masters,Private,Exec-managerial,Married,Husband,>50K
Male,White,58,50s,Some-college,Self-emp-not-inc,Farming-fishing,Married,Husband,>50K
Male,White,37,30s,Bachelors,Self-emp-inc,Sales,Married,Husband,>50K
Male,White,44,40s,Bachelors,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,39,30s,Prof-school,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Male,Asian-Pac-Islander,43,40s,Prof-school,Federal-gov,Prof-specialty,Married,Husband,>50K
Male,White,55,50s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,44,40s,Masters,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,Asian-Pac-Islander,39,30s,Prof-school,Private,Prof-specialty,Married,Husband,>50K
Male,White,46,40s,Bachelors,Self-emp-not-inc,Sales,Married,Husband,>50K
Male,White,39,30s,Some-college,Private,Farming-fishing,Married,Husband,>50K
Male,White,62,60s,Bachelors,Self-emp-inc,Farming-fishing,Married,Husband,>50K
Female,White,31,30s,HS-grad,Self-emp-not-inc,Other-service,Married,Wife,>50K
Male,Asian-Pac-Islander,46,40s,Bachelors,Private,Adm-clerical,Married,Husband,>50K
Male,White,46,40s,Prof-school,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Male,White,39,30s,Associate,Self-emp-inc,Craft-repair,Married,Husband,>50K
Male,White,39,30s,Prof-school,Private,Sales,Married,Husband,>50K
Male,White,59,50s,Doctorate,Private,Prof-specialty,Married,Husband,>50K
Male,White,50,50s,Prof-school,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,White,46,40s,Doctorate,Private,Prof-specialty,Married,Husband,>50K
Male,White,53,50s,Bachelors,Self-emp-not-inc,Exec-managerial,Married,Husband,>50K
Male,White,50,50s,Prof-school,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Female,White,41,40s,Prof-school,Self-emp-inc,Exec-managerial,Married,Wife,>50K
Male,White,36,30s,Bachelors,Private,Sales,Married,Husband,>50K
Male,White,38,30s,Prof-school,Private,Prof-specialty,Married,Husband,>50K
Male,White,54,50s,Some-college,Private,Sales,Married,Husband,>50K
Female,White,50,50s,Bachelors,Private,Exec-managerial,Married,Wife,>50K
Male,White,47,40s,Bachelors,Private,Exec-managerial,Married,Husband,>50K
Male,White,47,40s,Prof-school,Self-emp-inc,Prof-specialty,Married,Husband,>50K
Male,White,67,60s,Bachelors,Private,Exec-managerial,Widowed,Not-in-family,>50K
Male,White,67,60s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,72,70s,Doctorate,Self-emp-not-inc,Prof-specialty,Married,Husband,>50K
Male,White,46,40s,Masters,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,78,70s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,71,70s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,83,80s+,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
Male,White,68,60s,Masters,Private,Exec-managerial,Married,Husband,>50K
Male,White,26,20s,Associate,Private,Adm-clerical,Married,Husband,<=50K
Male,White,68,60s,Doctorate,State-gov,Prof-specialty,Married,Husband,>50K
Female,White,49,40s,HS-grad,Self-emp-inc,Adm-clerical,Married,Wife,>50K
Male,White,36,30s,HS-grad,Private,Prof-specialty,Married,Husband,<=50K
Male,White,70,70s,Bachelors,Self-emp-not-inc,Craft-repair,Married,Husband,>50K
Female,Black,27,20s,Some-college,Private,Adm-clerical,Married,Wife,<=50K
Male,White,35,30s,Some-college,Local-gov,Exec-managerial,Married,Husband,<=50K
Male,White,23,20s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,81,80s+,HS-grad,Private,Exec-managerial,Married,Husband,>50K
Male,White,66,60s,Doctorate,Self-emp-not-inc,Sales,Married,Husband,>50K
Male,White,71,70s,HS-grad,Private,Exec-managerial,Married,Husband,>50K
Male,White,68,60s,Some-college,Private,Sales,Married,Husband,>50K
Male,White,68,60s,Masters,State-gov,Prof-specialty,Married,Husband,>50K
Male,Black,52,50s,HS-grad,Private,Sales,Married,Husband,<=50K
Male,White,40,40s,Associate,Self-emp-inc,Craft-repair,Married,Husband,<=50K
Male,White,21,20s,Some-college,Private,Exec-managerial,Married,Husband,<=50K
Male,White,35,30s,HS-grad,Private,Craft-repair,Married,Husband,<=50K
Male,White,70,70s,Bachelors,Self-emp-inc,Exec-managerial,Married,Husband,>50K
